;;;Length ofteeth Ln;Total lengthLT;Price each
;;;;;
;;;;;
;;;;;
;;m;;;
18HTD8M-BAR;18;44,47;200;200;40,51 €
19HTD8M-BAR;19;47,01;200;200;43,29 €
20HTD8M-BAR;20;49,56;200;200;45,65 €
21 HTDSM-BAR;21;52,11;200;200;47,51 €
22HTD8M-BAR;22;54,65;200;200;49,83 €
23HTD8M-BAR;23;57,20;200;200;52,15€
24HTD8M-BAR;24;59,75;200;200;54,47 €
25HTD8M-BAR;25;62,29;200;200;55,86 €
26HTD8M-BAR;26;64,84;200;200;60,54 €
28HTD8M-BAR;2B;69,93;200;200;66,61 €
30HTD8M-BAR;30;75,03;200;200;75,89 €
32HTD8M-BAR;32;80,12;200;200;88,10€
34HTD8M-BAR;34;85,21;200;200;95,92 €
35HTD8M-BAR;35;87,76;200;200;106,27 €
36HTD8M-BAR;36;90,30;200;200;111,45€
38HTD8M-BAR;38;95,40;200;200;124,45 €
40HTD8M-BAR;40;100,49;200;200;136,33 €
44HTD8M-BAR;44;110,67;200;200;161,75€
48HTD8M-BAR;4s;120,86;200;200;189,24 €
Dimensions in mm;;;;;
